,Variance
Cereals and products,292.487570251938
Meat and fish,1155.078558624031
Egg,536.0814546996124
Milk and products,382.8901635174419
Oils and fats,985.9247129360465
Fruits,275.7164353197674
Vegetables,606.7878754844961
Pulses and products,578.8437172965116
Sugar and Confectionery,70.05074249031006
Spices,1194.256581879845
Non-alcoholic beverages,513.0585985949613
"Prepared meals, snacks, sweets etc.",559.4265406976745
Food and beverages,431.18804869186044
"Pan, tobacco and intoxicants",898.4431879844963
Clothing,551.6776538275194
Footwear,535.7083066860466
Clothing and footwear,549.2296814437984
Housing,
Fuel and light,518.538921996124
Household goods and services,469.79796996124037
Health,677.1082788275194
Transport and communication,460.6906552810078
Recreation and amusement,490.34808987403096
Education,569.259234496124
Personal care and effects,617.8183975290697
Miscellaneous,543.9316436531008
